Nguyên liệu,Loại,Số lượng,Đơn vị nhập,Giá nhập,Ngày nhập
bột bay,Nhóm Bột,200,Túi/Gói (500g),200000,Tháng 5 - Đợt 1
hạt,Nhóm Bột,1236,Túi/Gói (1kg),123456,Tháng 5 - Đợt 2 
Trà chanh,Nhóm Chất lỏng,2,Chai,10000,Tháng 7 - Đợt 5 
Nước cam,Nhóm Chất lỏng,10,Hộp,150000,Tháng 3 - Đợt 2
Trà Oolong,Nhóm Chất lỏng,50,Chai,20000,Tháng 11 - Đợt 5
Kẹo marshmallow,Kẹo,30,Bao (5kg),35000,Tháng 6 - Đợt 3
Cafe chồn,Nhóm Hạt,50,Kilogram (kg),70000,Tháng 7 - Đợt 1
Cafe voi,Nhóm Hạt,100,Kilogram (kg),80000,Tháng 1 - Đợt 3
Matcha,Nhóm Bột,30,Túi/Gói (1kg),150000,Tháng 6 - Đợt 1
Mixue,Nhóm Chất lỏng,200,Chai,200000,Tháng 7 - Đợt 1
Chân trâu,Nhóm Hạt,20,Kilogram (kg),100000,Tháng 7 - Đợt 1
Trà dotoc thanh,Nhóm Chất lỏng,30,Chai,10000,Tháng 11 - Đợt 3
trân châu,Nhóm Hạt,5,Thùng (5kg),100000,Tháng 2 - Đợt 1
